Title = Jupiter Capture Orbit
Planet = Jupiter
Coordinates = PEI
Columns = JDCT, X, Y, Z
Format = CSV
$$BEGIN
2462516.125,-8372.725600049853,-249374.43377129352,-43850.89480669444
2462516.1666666665,70949.98611851453,-183776.45064818012,-32232.9953502589
2462516.2083333335,133123.2421084921,-81204.27737232155,-14133.184924653151
2462516.25,140353.10403713994,49564.35347929679,8864.70126886084
2462516.2916666665,84180.94711747581,160689.88369295097,28341.00544599018
2462516.3333333335,2852.1390412406327,231372.77931979913,40680.13094570641
2462516.375,-80106.79152154883,272383.47768430016,47800.89616053374
2462516.4166666665,-157908.1740493592,294290.79993507423,51568.67498903477
2462516.4583333335,-229088.64350435897,303474.4653313138,53106.63957207846
2462516.5,-293647.28442250256,303742.10524360905,53084.19638199037
2462516.5416666665,-351963.98493803706,297486.26661834435,51921.5598554443
2462516.5833333335,-404483.8223927969,286295.161914652,49897.46680396054
2462516.625,-451623.7389707775,271275.26991894084,47205.99284777622
2462516.6666666665,-493748.50109752297,253229.87524882052,43987.96712313856
2462516.7083333335,-531168.8956848909,232763.12680936692,40349.268625890894
2462516.75,-564146.6431027104,210343.6669020456,36372.00746251955
2462516.7916666665,-592900.7256886949,186345.23853027666,32121.657112061454
2462516.8333333335,-617613.3587780691,161073.60723206226,27651.78101871257
2462516.875,-638435.0921581006,134785.03883269173,23007.275552210198
2462516.9166666665,-655488.977938825,107699.40165233467,18226.668883062877
2462516.9583333335,-668873.8873007902,80009.76041005061,13343.803964129344
2462517.0,-678667.0923417882,51889.6406033489,8389.112736115147
2462517.0416666665,-684926.2223644379,23498.735722437712,3390.6172299622026
2462517.0833333335,-687690.6841662049,-5012.415301045339,-1625.2498054010541
2462517.125,-686982.6135971196,-33498.40151549414,-6632.938205691585
2462517.1666666665,-682807.404316499,-61815.273129525405,-11607.136490088105
2462517.2083333335,-675153.8400578178,-89816.98990652534,-16522.147787679834
2462517.25,-663993.8385351739,-117351.75537003885,-21351.245265187743
2462517.2916666665,-649281.7978632872,-144257.99427368672,-26065.96440023746
2462517.3333333335,-630953.5196406085,-170359.68681525055,-30635.281695265443
